From	To
Q8TC07	ENSP00000448182
Q49A88	ENSP00000418002
Q49A88	ENSP00000420180
Q49A88	ENSP00000418403
P40222	ENSP00000362711
P40222	ENSP00000362712
Q96CS2	ENSP00000282058
Q92844	ENSP00000259075
Q92844	ENSP00000376505
Q92844	ENSP00000385983
Q04206	ENSP00000311508
Q04206	ENSP00000384273
P61981	ENSP00000306330
O94972	ENSP00000262294
O94972	ENSP00000376784
O94972	ENSP00000376785
Q53EZ4	ENSP00000360540
Q13625	ENSP00000341957
Q13625	ENSP00000375750
Q8TD31	ENSP00000365442
Q8TD31	ENSP00000372832
Q8TD31	ENSP00000373019
Q8TD31	ENSP00000379566
Q8TD31	ENSP00000383205
Q8TD31	ENSP00000383263
Q8TD31	ENSP00000408012
Q8TD31	ENSP00000393042
Q8TD31	ENSP00000401039
Q7L590	ENSP00000367986
Q7L590	ENSP00000418268
P53350	ENSP00000300093
Q9BRK4	ENSP00000359240
Q9BRK4	ENSP00000359243
Q86SG6	ENSP00000268766
P27986	ENSP00000323512
P27986	ENSP00000338554
P27986	ENSP00000428056
P27986	ENSP00000429277
P27986	ENSP00000430098
P13861	ENSP00000265563
P13861	ENSP00000296446
P13861	ENSP00000394041
Q9H3P7	ENSP00000355777
Q7L576	ENSP00000478779
Q7L576	ENSP00000480525
Q7L576	ENSP00000481038
P63167	ENSP00000242577
P63167	ENSP00000376296
P63167	ENSP00000376297
P63167	ENSP00000447907
P63167	ENSP00000446614
Q15788	ENSP00000288599
Q15788	ENSP00000320940
Q15788	ENSP00000379197
Q15788	ENSP00000385097
Q15788	ENSP00000385216
P06858	ENSP00000497642
P05230	ENSP00000338548
P05230	ENSP00000352329
P05230	ENSP00000354231
P05230	ENSP00000367285
P05230	ENSP00000396195
P05230	ENSP00000404742
P05230	ENSP00000481868
P05230	ENSP00000479024
P05230	ENSP00000480980
P05230	ENSP00000480791
P54252	ENSP00000339110
P54252	ENSP00000425322
P54252	ENSP00000426697
P54252	ENSP00000437157
P54252	ENSP00000496695
P42858	ENSP00000347184
O75400	ENSP00000497573
O43426	ENSP00000349903
P00519	ENSP00000323315
P00519	ENSP00000361423
Q96AY2	ENSP00000339897
Q96AY2	ENSP00000376952
Q96AY2	ENSP00000421700
P17693	ENSP00000353472
P17693	ENSP00000366011
P17693	ENSP00000373116
P17693	ENSP00000373117
P17693	ENSP00000389969
P17693	ENSP00000389522
P17693	ENSP00000405238
P17693	ENSP00000412927
P17693	ENSP00000388176
P17693	ENSP00000401326
P17693	ENSP00000398200
P17693	ENSP00000416408
P17693	ENSP00000413926
P17693	ENSP00000408773
P17693	ENSP00000410247
P17693	ENSP00000447762
P17693	ENSP00000447780
P17693	ENSP00000448085
P17693	ENSP00000448363
P17693	ENSP00000449903
P17693	ENSP00000449291
P17693	ENSP00000479399
P61769	ENSP00000453350
P61769	ENSP00000453191
P61769	ENSP00000481426
P61769	ENSP00000488548
P61769	ENSP00000488321
P61769	ENSP00000497910
Q07954	ENSP00000243077
Q07954	ENSP00000341264
P30533	ENSP00000497444
Q6Q788	ENSP00000227665
Q6Q788	ENSP00000445002
P02649	ENSP00000252486
P06213	ENSP00000303830
P06213	ENSP00000342838
P30153	ENSP00000324804
P46098	ENSP00000299961
P46098	ENSP00000347754
P46098	ENSP00000364648
P46098	ENSP00000424189
P46098	ENSP00000424776
A5X5Y0	ENSP00000335511
A5X5Y0	ENSP00000401444
A5X5Y0	ENSP00000401900
A5X5Y0	ENSP00000395833
A5X5Y0	ENSP00000406050
P06733	ENSP00000234590
P22303	ENSP00000241069
P22303	ENSP00000303211
P22303	ENSP00000404865
P22303	ENSP00000394976
P22303	ENSP00000403474
P22303	ENSP00000414858
P20340	ENSP00000311449
P20340	ENSP00000336850
P20340	ENSP00000445350
P20340	ENSP00000443782
P40616	ENSP00000261636
P40616	ENSP00000441808
P40616	ENSP00000448850
P13010	ENSP00000375977
P13010	ENSP00000375978
P12956	ENSP00000352257
P12956	ENSP00000353192
P12956	ENSP00000384941
P12956	ENSP00000384257
Q16531	ENSP00000301764
O60282	ENSP00000393379
Q9HAU4	ENSP00000262435
P53667	ENSP00000336740
P53667	ENSP00000414606
P53667	ENSP00000444452
P04049	ENSP00000251849
P04049	ENSP00000401888
P51587	ENSP00000369497
P51587	ENSP00000439902
P10321	ENSP00000365402
P30685	ENSP00000399168
P13746	ENSP00000366005
P13746	ENSP00000379873
P30504	ENSP00000365402
P43626	ENSP00000291633
P43626	ENSP00000478232
P43626	ENSP00000482120
P43626	ENSP00000484559
P43626	ENSP00000484361
P43626	ENSP00000478263
P43626	ENSP00000479363
P01732	ENSP00000283635
P01732	ENSP00000321631
P01732	ENSP00000386559
P13497	ENSP00000306121
P13497	ENSP00000305714
P13497	ENSP00000428665
P13497	ENSP00000428332
P13497	ENSP00000430406
P17096	ENSP00000308227
P17096	ENSP00000288245
P17096	ENSP00000363230
P17096	ENSP00000385693
P17096	ENSP00000399888
P52926	ENSP00000346658
P52926	ENSP00000377206
P52926	ENSP00000384026
P52926	ENSP00000407306
P52926	ENSP00000437747
P52926	ENSP00000443372
P11362	ENSP00000327229
P11362	ENSP00000337247
P11362	ENSP00000348537
P11362	ENSP00000380280
P11362	ENSP00000380297
P11362	ENSP00000380302
P11362	ENSP00000393312
P11362	ENSP00000400162
P11362	ENSP00000433163
P11362	ENSP00000432972
P21802	ENSP00000263451
P21802	ENSP00000348559
P21802	ENSP00000350166
P21802	ENSP00000351276
P21802	ENSP00000352309
P21802	ENSP00000353262
P21802	ENSP00000358052
P21802	ENSP00000358056
P21802	ENSP00000358057
P21802	ENSP00000410294
P09038	ENSP00000477134
P09038	ENSP00000478620
P09038	ENSP00000494222
P06865	ENSP00000268097
P25054	ENSP00000257430
P25054	ENSP00000427089
Q07812	ENSP00000293288
Q07812	ENSP00000263262
Q07812	ENSP00000346461
Q07812	ENSP00000348871
Q07812	ENSP00000389971
Q07812	ENSP00000426328
O75807	ENSP00000200453
P0DP24	ENSP00000272298
P0DP24	ENSP00000499797
P19338	ENSP00000318195
Q02108	ENSP00000296518
Q02108	ENSP00000412201
Q02108	ENSP00000424361
Q02108	ENSP00000421493
Q02108	ENSP00000426968
Q02108	ENSP00000426040
P02751	ENSP00000323534
P02751	ENSP00000338200
P02751	ENSP00000346839
P02751	ENSP00000348285
P02751	ENSP00000350534
P02751	ENSP00000352696
P02751	ENSP00000394423
P02751	ENSP00000398907
P02751	ENSP00000399538
P02751	ENSP00000415018
P02751	ENSP00000410422
P63000	ENSP00000258737
P63000	ENSP00000348461
O75563	ENSP00000005587
P10145	ENSP00000306512
P42345	ENSP00000354558
P30511	ENSP00000259951
P30511	ENSP00000334263
P30511	ENSP00000351977
P30511	ENSP00000366044
P30511	ENSP00000366057
P30511	ENSP00000373007
P30511	ENSP00000393535
P30511	ENSP00000397376
P30511	ENSP00000399835
P04439	ENSP00000366005
P04439	ENSP00000379873
P01889	ENSP00000399168
P01892	ENSP00000366005
P01892	ENSP00000379873
P52292	ENSP00000332455
P52292	ENSP00000438483
P04222	ENSP00000365402
P43627	ENSP00000483052
P01308	ENSP00000250971
P01308	ENSP00000370731
P01308	ENSP00000380432
Q14213	ENSP00000221847
P15692	ENSP00000361148
P15692	ENSP00000409911
P15692	ENSP00000430829
P15692	ENSP00000430002
P15692	ENSP00000428321
P15692	ENSP00000429008
P15692	ENSP00000430479
P15692	ENSP00000429643
P15692	ENSP00000478570
P15692	ENSP00000478034
P15692	ENSP00000484284
P15692	ENSP00000483241
P15692	ENSP00000492800
P15692	ENSP00000492413
P15692	ENSP00000492199
P14618	ENSP00000320171
P14618	ENSP00000334983
P14618	ENSP00000403365
P14618	ENSP00000455901
P14618	ENSP00000455736
P14618	ENSP00000456970
P38398	ENSP00000312236
P38398	ENSP00000350283
P38398	ENSP00000418548
P38398	ENSP00000417988
P38398	ENSP00000417148
P38398	ENSP00000418960
P38398	ENSP00000420705
P38398	ENSP00000418775
P13612	ENSP00000340149
P13612	ENSP00000380227
P01019	ENSP00000355627
P01042	ENSP00000287611
P01042	ENSP00000396025
P01042	ENSP00000493985
P06881	ENSP00000354286
P06881	ENSP00000417833
P06307	ENSP00000335657
P06307	ENSP00000379472
P06307	ENSP00000409124
P05305	ENSP00000368683
P22466	ENSP00000265643
O43603	ENSP00000329684
P00533	ENSP00000275493
P00533	ENSP00000342376
P00533	ENSP00000345973
P00533	ENSP00000413843
P05112	ENSP00000231449
P05112	ENSP00000325190
P51671	ENSP00000302234
P13236	ENSP00000482259
P13236	ENSP00000480345
P13236	ENSP00000478708
P20366	ENSP00000321106
P20366	ENSP00000289574
P20366	ENSP00000289576
P29371	ENSP00000303325
P01303	ENSP00000242152
P01303	ENSP00000385282
P01303	ENSP00000384364
P10082	ENSP00000353198
P10082	ENSP00000467310
P30989	ENSP00000359532
P01210	ENSP00000324248
P01210	ENSP00000400894
P41146	ENSP00000336843
P41146	ENSP00000336764
P41146	ENSP00000347848
P01282	ENSP00000356212
P01282	ENSP00000356213
P01185	ENSP00000369647
P62330	ENSP00000298316
O15392	ENSP00000364086
O15392	ENSP00000465868
O15392	ENSP00000467336
O15392	ENSP00000466617
P98170	ENSP00000347858
P98170	ENSP00000360242
P98170	ENSP00000395230
P24863	ENSP00000428982
P24863	ENSP00000430014
P24863	ENSP00000430119
P08238	ENSP00000325875
P08238	ENSP00000360609
P08238	ENSP00000360709
P08238	ENSP00000481908
O75469	ENSP00000336528
O75469	ENSP00000492264
O75469	ENSP00000492881
P19793	ENSP00000419692
P17612	ENSP00000309591
P17612	ENSP00000466651
P17612	ENSP00000500293
P17612	ENSP00000499940
P00736	ENSP00000438615
O00481	ENSP00000289361
O00481	ENSP00000406667
O00481	ENSP00000396684
O00481	ENSP00000420010
P05106	ENSP00000452786
P60484	ENSP00000361021
O14920	ENSP00000404920
O14920	ENSP00000430684
O14920	ENSP00000497383
Q07820	ENSP00000309973
Q07820	ENSP00000358022
P30447	ENSP00000366005
P30447	ENSP00000379873
P05534	ENSP00000366005
P05534	ENSP00000379873
P03989	ENSP00000399168
P18465	ENSP00000399168
P30460	ENSP00000399168
P43629	ENSP00000350901
P43629	ENSP00000375608
P43629	ENSP00000484488
P43629	ENSP00000484036
P43629	ENSP00000484972
P43629	ENSP00000492794
P43629	ENSP00000492173
P43629	ENSP00000491437
P43629	ENSP00000491550
P30483	ENSP00000399168
P30493	ENSP00000399168
P30443	ENSP00000366005
P30443	ENSP00000379873
P30508	ENSP00000365402
P04626	ENSP00000269571
P04626	ENSP00000385185
P04626	ENSP00000446466
P04626	ENSP00000462438
P20809	ENSP00000264563
P20809	ENSP00000467355
P20809	ENSP00000465705
Q86YP4	ENSP00000351552
Q86YP4	ENSP00000353463
Q86YP4	ENSP00000384899
O14625	ENSP00000306884
O14625	ENSP00000425819
P48061	ENSP00000339913
P48061	ENSP00000363548
P48061	ENSP00000363551
P48061	ENSP00000379139
P48061	ENSP00000379140
P48061	ENSP00000379141
P13500	ENSP00000225831
P80098	ENSP00000367832
P98066	ENSP00000243347
O00585	ENSP00000259607
P13501	ENSP00000474412
P13501	ENSP00000475057
P13501	ENSP00000474141
P13501	ENSP00000479894
P13501	ENSP00000484921
P02776	ENSP00000296029
P61020	ENSP00000353444
P61020	ENSP00000391319
P61020	ENSP00000450168
P37840	ENSP00000338345
P37840	ENSP00000343683
P37840	ENSP00000378437
P37840	ENSP00000378440
P37840	ENSP00000378442
P37840	ENSP00000396241
P37840	ENSP00000421485
P37840	ENSP00000422238
P37840	ENSP00000426955
P37840	ENSP00000484044
O75909	ENSP00000374529
P68871	ENSP00000333994
P68871	ENSP00000494175
Q86U44	ENSP00000298717
Q6ZNE5	ENSP00000247178
Q14457	ENSP00000355231
Q14457	ENSP00000465364
P50213	ENSP00000299518
Q9UJW3	ENSP00000270172
Q9UJW3	ENSP00000486001
P10276	ENSP00000254066
P10276	ENSP00000377643
P10276	ENSP00000377649
P10276	ENSP00000389993
O75376	ENSP00000268712
O75376	ENSP00000379189
O75376	ENSP00000379192
P03372	ENSP00000206249
P03372	ENSP00000342630
P03372	ENSP00000405330
P03372	ENSP00000387500
P04150	ENSP00000231509
P04150	ENSP00000343205
P04150	ENSP00000377977
P04150	ENSP00000377979
P04150	ENSP00000387672
P04150	ENSP00000405282
P04150	ENSP00000427672
P04150	ENSP00000422518
P06241	ENSP00000229471
P06241	ENSP00000346671
P06241	ENSP00000357656
P06241	ENSP00000357667
P06241	ENSP00000357671
P06241	ENSP00000440646
P06239	ENSP00000328213
P06239	ENSP00000337825
P06239	ENSP00000477713
P52735	ENSP00000360916
P52735	ENSP00000360917
P52735	ENSP00000385362
P42685	ENSP00000476145
P09769	ENSP00000363115
P09769	ENSP00000363116
P09769	ENSP00000363117
P09769	ENSP00000382126
P07947	ENSP00000324740
P07947	ENSP00000462468
P16591	ENSP00000281092
P16591	ENSP00000484767
O14512	ENSP00000480736
O14512	ENSP00000499750
P07332	ENSP00000331504
P07332	ENSP00000377837
P07332	ENSP00000414629
P07332	ENSP00000400868
P20936	ENSP00000274376
P20936	ENSP00000411221
P20936	ENSP00000422008
P20936	ENSP00000423395
P07948	ENSP00000428924
P07948	ENSP00000428424
P19174	ENSP00000244007
P19174	ENSP00000362368
Q13322	ENSP00000338543
Q13322	ENSP00000349818
Q13322	ENSP00000381790
Q13322	ENSP00000381793
Q13322	ENSP00000385770
Q13322	ENSP00000385748
Q13322	ENSP00000385189
Q13322	ENSP00000385544
Q13322	ENSP00000385366
Q13322	ENSP00000385046
Q13322	ENSP00000496245
Q13322	ENSP00000495341
Q8IZP0	ENSP00000279599
Q8IZP0	ENSP00000352114
Q8IZP0	ENSP00000365307
Q8IZP0	ENSP00000365308
Q8IZP0	ENSP00000365309
Q8IZP0	ENSP00000365310
Q8IZP0	ENSP00000365312
Q8IZP0	ENSP00000365336
Q8IZP0	ENSP00000365340
Q8IZP0	ENSP00000440101
P42684	ENSP00000339209
P42684	ENSP00000356595
P42684	ENSP00000375897
P42684	ENSP00000427562
P42684	ENSP00000426831
P42684	ENSP00000423413
P42684	ENSP00000424697
P42684	ENSP00000423578
P15498	ENSP00000469450
P15498	ENSP00000472929
Q08881	ENSP00000398655
P46109	ENSP00000346300
P46109	ENSP00000396646
Q13191	ENSP00000377598
Q13191	ENSP00000384816
Q13191	ENSP00000384938
O00459	ENSP00000222254
O00459	ENSP00000477864
P46108	ENSP00000300574
P46108	ENSP00000381942
O15357	ENSP00000298229
O15357	ENSP00000444619
Q96BT3	ENSP00000400140
Q96BT3	ENSP00000457810
Q8NBT2	ENSP00000465075
Q8NG31	ENSP00000335463
Q8NG31	ENSP00000382576
Q96IY1	ENSP00000355944
Q96IY1	ENSP00000486783
O75791	ENSP00000339186
O75791	ENSP00000385607
Q05397	ENSP00000341189
Q05397	ENSP00000378644
Q05397	ENSP00000429474
Q05397	ENSP00000429911
P10912	ENSP00000230882
P10912	ENSP00000350335
P10912	ENSP00000442206
P10912	ENSP00000478332
P10912	ENSP00000479846
P10912	ENSP00000478291
P10912	ENSP00000482373
P10827	ENSP00000264637
P10827	ENSP00000377679
P10827	ENSP00000395641
P10827	ENSP00000443972
P10827	ENSP00000463466
P10828	ENSP00000280696
P10828	ENSP00000348827
P10828	ENSP00000379904
P10828	ENSP00000414444
P10828	ENSP00000494618
P10828	ENSP00000496029
P10828	ENSP00000496616
P10828	ENSP00000493709
P10828	ENSP00000496686
P10828	ENSP00000496509
P06748	ENSP00000296930
P06748	ENSP00000341168
P06748	ENSP00000377408
P06748	ENSP00000428755
P11473	ENSP00000378734
P11473	ENSP00000449573
P11473	ENSP00000447173
Q14686	ENSP00000351894
Q14686	ENSP00000363929
P62826	ENSP00000376176
P62826	ENSP00000446215
P23246	ENSP00000349748
Q5EE01	ENSP00000357308
Q5EE01	ENSP00000357311
A8MT69	ENSP00000302951
A8MT69	ENSP00000376168
A8MT69	ENSP00000462015
O14893	ENSP00000250379
O14893	ENSP00000308533
O14893	ENSP00000379548
O14893	ENSP00000416827
P07900	ENSP00000216281
P07900	ENSP00000335153
Q15185	ENSP00000262033
Q15185	ENSP00000405299
Q15185	ENSP00000402385
Q15185	ENSP00000414892
O00165	ENSP00000329002
O00165	ENSP00000403848
O00165	ENSP00000411448
O00165	ENSP00000435088
O14617	ENSP00000344055
O14617	ENSP00000495274
O14654	ENSP00000361202
O14775	ENSP00000261837
O14775	ENSP00000351635
O14775	ENSP00000379626
O14802	ENSP00000361446
O15146	ENSP00000189978
O15146	ENSP00000363571
O15519	ENSP00000312455
O15519	ENSP00000339335
O15519	ENSP00000345807
O15519	ENSP00000342809
O15519	ENSP00000399420
O15519	ENSP00000406775
O15519	ENSP00000413270
O15519	ENSP00000411535
O15519	ENSP00000471805
O15530	ENSP00000268673
O15530	ENSP00000344220
O15530	ENSP00000395357
O43151	ENSP00000386869
O43242	ENSP00000264639
O43293	ENSP00000301264
O43293	ENSP00000442973
O43765	ENSP00000221566
O60502	ENSP00000350445
O60502	ENSP00000354850
O60502	ENSP00000359112
O60502	ENSP00000409973
O60884	ENSP00000314030
O75132	ENSP00000216268
O75159	ENSP00000305133
O75159	ENSP00000378330
O75190	ENSP00000262177
O75190	ENSP00000397556
O75426	ENSP00000241071
O75426	ENSP00000416558
O75426	ENSP00000419602
O75426	ENSP00000420239
O94763	ENSP00000353817
O94763	ENSP00000376097
O75344	ENSP00000252037
O75344	ENSP00000394952
O75344	ENSP00000416277
O00170	ENSP00000279146
O94906	ENSP00000266079
O94966	ENSP00000381863
O94966	ENSP00000395260
O94966	ENSP00000401197
O94966	ENSP00000400090
O95072	ENSP00000482439
O95072	ENSP00000482546
O95072	ENSP00000493523
O95072	ENSP00000495458
O95429	ENSP00000287322
O95429	ENSP00000393298
O95816	ENSP00000359727
O95817	ENSP00000358081
O95985	ENSP00000349705
O95985	ENSP00000381773
P00540	ENSP00000310722
P04350	ENSP00000264071
P08913	ENSP00000280155
P11908	ENSP00000370043
P11908	ENSP00000381504
P13667	ENSP00000499129
P15918	ENSP00000299440
P15918	ENSP00000434610
P16615	ENSP00000311186
P16615	ENSP00000440045
P18074	ENSP00000375809
P18074	ENSP00000431229
P18505	ENSP00000295454
P18505	ENSP00000426766
P19086	ENSP00000478892
P19447	ENSP00000285398
P19474	ENSP00000254436
P20794	ENSP00000313021
P20794	ENSP00000346484
P20794	ENSP00000476067
P20794	ENSP00000442221
P25098	ENSP00000312262
P25686	ENSP00000338019
P25686	ENSP00000375936
P25705	ENSP00000282050
P25705	ENSP00000381736
P25705	ENSP00000467037
P25705	ENSP00000465477
P30679	ENSP00000262958
P30876	ENSP00000312735
P30876	ENSP00000370625
P30988	ENSP00000413179
P30988	ENSP00000391369
P33992	ENSP00000216122
P33993	ENSP00000307288
P33993	ENSP00000344006
P33993	ENSP00000346171
P33993	ENSP00000483795
P34972	ENSP00000363596
P35251	ENSP00000261424
P35251	ENSP00000371321
P35998	ENSP00000292644
P35998	ENSP00000391211
P38405	ENSP00000269162
P38405	ENSP00000334051
P38405	ENSP00000408489
P38405	ENSP00000439023
P38405	ENSP00000473600
P40337	ENSP00000256474
P40337	ENSP00000344757
P43155	ENSP00000315013
P43250	ENSP00000347655
P43250	ENSP00000348230
P43250	ENSP00000433511
P47871	ENSP00000383558
P47871	ENSP00000500297
P49674	ENSP00000352929
P49674	ENSP00000380044
P49674	ENSP00000384074
P49758	ENSP00000347699
P49758	ENSP00000385243
P49758	ENSP00000384218
P49758	ENSP00000384612
P49758	ENSP00000451030
P49758	ENSP00000452331
P49758	ENSP00000450858
P49758	ENSP00000451912
P49758	ENSP00000450936
P49758	ENSP00000451855
P50416	ENSP00000265641
P50416	ENSP00000365803
P50416	ENSP00000446108
P50416	ENSP00000439084
P50750	ENSP00000362361
P51788	ENSP00000265593
P51788	ENSP00000345056
P51788	ENSP00000400425
P51788	ENSP00000391928
P53618	ENSP00000249923
P53618	ENSP00000397873
P54652	ENSP00000247207
P54652	ENSP00000378199
P56192	ENSP00000262027
P56192	ENSP00000446168
P58340	ENSP00000348157
P58340	ENSP00000352025
P58340	ENSP00000376568
P58340	ENSP00000418595
P58340	ENSP00000420134
P58340	ENSP00000419637
P58340	ENSP00000417777
P58340	ENSP00000417141
P58340	ENSP00000417835
P58340	ENSP00000484169
P58340	ENSP00000498363
P59046	ENSP00000319377
P59046	ENSP00000375653
P59046	ENSP00000375655
P31948	ENSP00000305958
P31948	ENSP00000351646
P31948	ENSP00000445957
P62873	ENSP00000367872
P62873	ENSP00000481878
P78395	ENSP00000381726
P78395	ENSP00000381728
P78395	ENSP00000385198
P78395	ENSP00000384343
P78395	ENSP00000445097
P78395	ENSP00000445675
P78395	ENSP00000484066
P78395	ENSP00000486485
P78395	ENSP00000486330
Q00534	ENSP00000265734
Q00534	ENSP00000397087
Q00597	ENSP00000289081
Q00597	ENSP00000364454
Q02790	ENSP00000001008
Q06609	ENSP00000267868
Q06609	ENSP00000372088
Q06609	ENSP00000406602
Q06609	ENSP00000433924
Q06609	ENSP00000454176
Q06609	ENSP00000493712
Q10587	ENSP00000266304
Q10587	ENSP00000385256
Q13131	ENSP00000346148
Q13131	ENSP00000380317
Q13133	ENSP00000378793
Q13133	ENSP00000384745
Q13133	ENSP00000385801
Q13133	ENSP00000387946
Q13133	ENSP00000420656
Q13200	ENSP00000310129
Q13200	ENSP00000402618
Q13200	ENSP00000416028
Q13309	ENSP00000274254
Q13309	ENSP00000274255
Q13309	ENSP00000478031
Q13620	ENSP00000360373
Q13620	ENSP00000384109
Q13885	ENSP00000369703
Q14145	ENSP00000171111
Q14145	ENSP00000377245
Q14164	ENSP00000464030
Q14164	ENSP00000462396
Q13451	ENSP00000349811
Q13451	ENSP00000444810
Q13451	ENSP00000441205
Q13451	ENSP00000442340
Q14190	ENSP00000290399
Q14249	ENSP00000361725
Q14257	ENSP00000319739
Q14257	ENSP00000378349
Q14318	ENSP00000222308
Q14318	ENSP00000472302
Q14318	ENSP00000471700
Q14318	ENSP00000476767
Q14344	ENSP00000400717
Q14344	ENSP00000439647
O95433	ENSP00000216479
O95433	ENSP00000440108
Q14653	ENSP00000310127
Q14653	ENSP00000366344
Q14653	ENSP00000400378
Q14653	ENSP00000470512
Q14653	ENSP00000469113
Q14653	ENSP00000471358
Q14653	ENSP00000472700
Q14653	ENSP00000471896
Q15029	ENSP00000385873
Q15029	ENSP00000392094
Q15029	ENSP00000467805
